ISIN,symbol
IE00B3F81409,AGGG,SAGG
IE00BZ043R46,AGGU
IE00BDBRDM35,0GGH
IE00BD1JRY91,AGGS
IE00BYZ28V50,IGLA
IE00B3F81K65,IGLO,SGLO
IE00B3B8PX14,IGIL,SGIL
IE00BFZPF546,EMGA
IE00B5M4WH52,IEML,SEML
IE00B5377D42,IAUS,SAUS
IE00B3F81G20,IEMS
IE00B4L5YC18,IEMA,SEMA
IE00B4K48X80,SMEA
IE00B2QWDY88,IDJP,ISJP
IE00B4WXJD03,IPXJ,SPXJ
IE00B52XQP83,IRSA,SRSA
IE00BRHZ0398,UKRE
IE00BF4RFH31,WLDS,WSML
IE00BZ048462,FLO5,FLOT
IE00BF11F458,0FLE
IE00BDFGJ627,FLOA
IE00BDDRDZ46,0A0A
IE00B4PY7Y77,IHYU,SHYU
IE00BYXYYL56,IHYA
IE00BDDRH961,0A07
IE00BDQYWQ65,TIP5,TP05
IE00B1FZSC47,IDTP,ITPS
IE00BDZVH859,ITPG
IE00BDZVH966,0TPE
IE00B1FZS913,IBGL
IE00B1W57M07,BRIC,DBRC
IE00BDZVHC96,DPYG
IE00BDZVHD04,DPYE
IE00BFM6T921,DPYA
IE00B57X3V84,IGSG,IGSU
IE00B2NPL135,IEMI
IE00BD5J2G21,EXFNZ
IE00BDZVHF28,IBC8D
IE00B1XNHC34,INRG
IE00B1FZS467,IDIN,INFR
IE00B27YCF74,WOOD
IE00BYXYYK40,JPEA,JPEE
IE00BDDRH417,0A08
IE00BQT3W831,NK4EEUR
IE00B1TXHL60,IDPE,IPRV
IE00B2QWDR12,ISFE
IE00B27YCP72,ISDE
IE00B52VJ196,IESG
IE00B1FZS574,IDTK,ITKY
IE00BKM4H312,HDIQ,QDIV
IE00B27YCN58,ISDW,ISWD
IE00BYYHSQ67,WQDS,WQDV
IE0008470928,EUN
IE00BYXYYM63,IUAA
IE00BDFJYM28,IUAE
IE00BDFGJ841,IUGA
IE00B1FZSF77,IDUP,IUSP
IE00BYZTVT56,SUOE
IE00B0M62T89,
IE0004855221,
IE00BVC3VM20,
IE00BFMM9458,
IE00BFMM9342,
IE00BFMM8Z98,
IE00BD9FM223,
IE00BQT3VN15,
IE00BDDRDW15,EMES
IE00BF553838,EMSA
IE00B6X2VY59,IRCP
IE00B6R52143,ISAG,SPAG
IE00B7LGZ558,IFRB
IE00BFMM9565,FRGHGBP
IE00B6R52036,IAUP,SPGP
IE00B7LW6Y90,IITB
IE00BFMM9235,ITEH
IE00BFM6TD65,EMCA
IE00B6R52259,ISAC,SSAC
IE00BKM4H197,CEMG,CEMX
